Prowess company name,Short name,NIC code,Incorporation year,NSE symbol
SHIRPUR GOLD REFINERY LTD.,NA,64191,1984,SHIRPUR-G
AGNI GREEN POWER LTD.,NA,35105,1995,AGNI
AGRI-TECH (INDIA) LTD.,AGRI-TECH (INDIA),64300,1993,AGRITECH
AGRO TECH FOODS LTD.,AGRO TECH FOODS,10402,1986,ATFL
AHIMSA INDUSTRIES LTD.,AHIMSA INDS.,20131,1996,AHIMSA
AHLUWALIA CONTRACTS (INDIA) LTD.,AHLUWALIA CONTRACTS,42209,1979,AHLUCONT
ADVANCE LIFESTYLES LTD.,NA,64191,1988,NA
AHMEDABAD STEELCRAFT LTD.,AHMEDABAD STEELCRAFT,46909,1972,NA
METALYST FORGINGS LTD.,AHMEDNAGAR FORGINGS,25910,1977,METALFORGE
AIMCO PESTICIDES LTD.,AIMCO PESTICIDES,2021,1987,AIMCOPEST
AIRAN LTD.,AIRAN CONSULT.,63111,1995,AIRAN
AJANTA PHARMA LTD.,AJANTA PHARMA,21002,1979,AJANTPHARM
AJANTA SOYA LTD.,NA,10401,1992,NA
AJCON GLOBAL SERVICES LTD.,NA,64191,1986,NA
AJWA FUN WORLD & RESORT LTD.,AFWRL,55101,1992,NA
OPTIEMUS INFRACOM LTD.,AKANKSHA FINVEST,46522,1993,OPTIEMUS
AKAR AUTO INDS. LTD.,AKAR TOOLS,28221,1989,NA
AKASH INFRA-PROJECTS LTD.,NA,42101,1999,AKASH
KALYAN CAPITALS LTD.,NA,64990,1983,NA
HUBTOWN LTD.,AKRUTI NIRMAN,41001,1989,HUBTOWN
AKSH OPTIFIBRE LTD.,NA,27310,1986,AKSHOPTFBR
ALACRITY SECURITIES LTD.,ALACRITY SECURITIES,64300,1994,NA
ALAN SCOTT INDS. LTD.,ALAN SCOTT INDS.,64191,1994,NA
ALBERT DAVID LTD.,ALBERT DAVID,21002,1938,ALBERTDAVD
ALEMBIC LTD.,NA,34,1907,ALEMBICLTD
ALFA ICA (INDIA) LTD.,NA,22201,1991,NA
ALFA TRANSFORMERS LTD.,NA,27102,1982,NA
ALFAVISION OVERSEAS (INDIA) LTD.,NA,46101,1994,NA
ALFRED HERBERT (INDIA) LTD.,NA,64300,1919,ALFREDHERB
ALKA SECURITIES LTD.,ALKA SECURITIES,46909,1994,NA
ALKA INDIA LTD.,ALKA INDIA,13111,1993,NA
ALKALI METALS LTD.,NA,20116,1968,ALKALI
ALKEM LABORATORIES LTD.,ALKEM LABORATORIES,21002,1973,ALKEM
ALKYL AMINES CHEMICALS LTD.,NA,20119,1979,ALKYLAMINE
ALL E TECHNOLOGIES LTD.,ALL E TECHNOLOGIES,62013,2000,ALLETEC
ALLCARGO LOGISTICS LTD.,NA,522,1993,ALLCARGO
AVONMORE CAPITAL & MGMT. SERVICES LTD.,ALMONDZ CAPITAL,64990,1991,AVONMORE
ALMONDZ GLOBAL SECURITIES LTD.,ALLIANZ SECURITIES,64191,1994,ALMONDZ
RAP MEDIA LTD.,RAP MEDIA,64191,1994,NA
ALLIED DIGITAL SERVICES LTD.,NA,62013,1995,ADSL
ALLDIGI TECH LTD.,ALLSEC TECHNOLOGIES,63999,1998,ALLDIGI
ALNA TRADING & EXPORTS LTD.,ALNA TRDG. & EXPORTS,46306,1981,NA
ALOK INDUSTRIES LTD.,ALOK INDUSTRIES,13131,1986,ALOKINDS
ALPA LABORATORIES LTD.,NA,2100,1988,ALPA
ALPEX SOLAR LTD.,ALPEX EXPORTS,27900,1993,ALPEXSOLAR
ALPHAGEO (INDIA) LTD.,JHAVERI FLEXO INDIA.,43122,1987,ALPHAGEO
ALPINE HOUSING DEVP. CORPN. LTD.,NA,41001,1992,ALPINEHOU
ALPS INDUSTRIES LTD.,ALPS INDS.,13111,1972,ALPSINDUS
G E VERNOVA T & D INDIA LTD.,AREVA T&D INDIA,42209,1957,GVT&D
G E POWER INDIA LTD.,NA,42209,1992,GEPIL
ALUFLUORIDE LTD.,NA,20119,1984,NA
AMAL LTD.,NA,20112,1974,NA
AMALGAMATED ELECTRICITY CO. LTD.,NA,64191,1936,NA
E F C (I) LTD.,NA,46909,1984,NA
AMARA RAJA ENERGY & MOBILITY LTD.,NA,27201,1985,ARE&M
AMARJOTHI SPINNING MILLS LTD.,NA,13111,1987,AMARJOTHI
AMARNATH SECURITIES LTD.,AMARNATH SECURITIES,64300,1994,NA
AMBA ENTERPRISES LTD.,AMBA ENTERPRISES,46599,1992,NA
SCAN PROJECTS LTD., ,46909,1992,NA
AMBALAL SARABHAI ENTERPRISES LTD.,NA,46909,1978,AMBASARABH
AMBANI ORGANICS LTD.,AMBANI ORGANICS,20,1985,AMBANIORGO
